precio,km,anio,fuente,vendedor
11999,145000,2012,Wallapop,particular
15900,143000,2013,Milanuncios,profesional 12m gtia
17990,186000,2012,Milanuncios,profesional 12m gtia
18900,131000,2012,Wallapop,particular
19499,159000,2014,Wallapop,particular
19990,142000,2013,Wallapop,particular
20000,85000,2014,Wallapop,particular
22650,135000,2014,Wallapop,particular
25000,33500,2016,Wallapop,particular
